CODE,MIN,MODE,MAX,COMMENTS
385806006,0.0,3.4,11.38,"G0247,S9141,S9214,S9455,S9460,S9465"
385955003,0.0,9.34,31.29,"G0247,S0390"
439894008,0.03,51.95,114.96,G0249
416323006,0.0,0.0,0.0,G0252
252745008,0.0,0.0,0.0,G0255
108241001,0.0,78.14,156.63,"G0257,G0491"
265763003,0.0,44.8,114.49,"G0257,G8727"
385904005,-0.02,13.3,39.7,G0268
118804001,0.0,1.68,24.81,G0269
386373004,0.0,48.56,139.67,G0270
737375007,0.0,7.65,27.06,"G0271,G0421,H0005,S9455"
410172000,0.0,21.79,85.39,G0271
182886004,0.0,0.0,0.0,G0276
18678000,0.0,300.65,706.34,G0277
34945008,0.0,3.8,24.01,G0278
450566007,0.03,10.32,28.77,G0279
57942008,0.0,2.18,5.56,"G0282,G0283"
225358003,0.0,0.0,0.11,"G0282,S9097"
305053005,0.15,11.82,43.09,G0288
133858001,0.04,728.03,1579.0,"G0288,L5595,L5600,V2785"
281811000,0.0,35.01,191.57,"G0289,S2112"
399248000,0.0,0.0,0.0,G0293
387713003,0.0,0.0,0.0,"G0293,G9756,G9757"
362961001,0.0,0.0,0.0,G0294
313092005,0.0,1.2,1.97,"G0295,G0329"
445142003,0.03,25.47,51.52,G0296
710311002,0.0,0.0,0.0,G0298
12484000,0.0,0.0,0.0,G0305
306648008,0.0,0.0,0.0,G0305
9564003,0.0,3.26,20.91,G0306
441579003,0.0,9.88,19.39,G0328
385762004,0.0,0.0,0.0,"G0337,G9524"
711364006,0.0,568.49,1130.12,"G0339,G0340,S2900"
441754003,0.0,0.0,0.0,G0341
128531006,0.0,0.0,0.0,"G0342,G0343"
73632009,0.0,0.0,0.0,G0342
86481000,0.0,0.0,0.0,G0343
439976001,0.03,56.65,97.9,G0365
108221006,4.57,9.85,15.13,"G0372,G9486"
283511000000105,0.0,0.0,0.0,G0377
171226003,0.0,0.0,0.0,G0389
78013004,0.0,0.0,0.0,G0389
370776007,12.86,62.67,157.76,"G0396,G0397"
719757009,0.0,7.82,37.16,"G0396,H0050"
225303001,25.72,109.74,242.58,G0397
108243003,11.96,77.78,203.87,"G0398,G0399,G0400"
315639002,0.09,52.16,102.76,G0402
169443000,0.09,52.16,102.76,G0402
445428001,1.22,28.41,68.37,"G0402,G0409,G0420,G0443,G0445,G0447"
268400002,0.0,7.9,23.31,"G0403,G0404,G0405"
312851005,0.0,7.9,23.31,"G0403,G0404,G0405"
87790002,15.76,59.23,114.8,"G0406,G0407,G0408"
108310004,3.89,11.33,30.11,"G0409,H2013"
76168009,0.0,130.04,250.91,"G0410,G0411"
129192002,198.27,316.63,420.44,"G0412,G0414,G0415"
133860004,198.27,316.63,420.44,"G0412,G0414,G0415"
39228008,0.0,86.72,204.16,G0416
236258004,0.0,86.72,204.16,G0416
720510004,0.0,18.84,54.49,"G0420,G0421"
51998003,0.0,64.04,138.43,G0422
313395003,0.0,70.56,154.9,"G0422,G0423"
15081005,19.57,28.6,44.59,"G0424,S9473"
448337001,48.75,104.26,186.15,"G0425,G0426,G0427"
392238003,0.0,0.0,0.0,G0428
281036007,0.03,37.67,82.05,G0439
78318003,0.01,12.01,26.95,"G0439,G0442,G0444,G0446,S0610,S0612,S0613"
171208001,0.01,9.11,20.7,G0442
415662004,0.01,9.11,20.7,G0442
166001,0.13,7.47,23.91,"G0443,G0446,H0004,H2012,H2019,H2020"
413473000,0.0,22.99,76.96,G0443
171207006,0.01,6.81,15.84,G0444
445563009,0.0,6.97,15.88,G0445
429785003,0.01,8.82,19.49,"G0446,S0340,S0341"
284352003,0.01,24.87,50.06,G0447
233169004,0.0,0.0,0.0,G0448
268551005,0.0,10.77,29.16,"G0449,G0473"
442487003,0.0,0.0,0.0,G0450
108262000,25.23,61.72,114.41,G0452
252793002,-0.82,49.43,145.03,G0453
108053008,0.0,0.0,0.0,G0458
384692006,0.0,0.0,0.0,G0458
134262009,0.0,23.87,47.31,G0472
171121004,0.0,10.53,24.72,G0475
314099008,0.0,7.17,23.95,G0499
386053000,0.0,0.01,0.6,"G0501,S3005"
