CODE,MIN,MODE,MAX,COMMENTS
106892,243.47,345.95,448.44,"insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML Injectable Suspension [Humulin]"
205532,2834.16,5668.32,11336.64,dornase alfa 1 MG/ML Inhalation Solution [Pulmozyme]
209387,0.0,0.0,0.0,acetaminophen 325 MG Oral Tablet [Tylenol]
311700,0.0,1.84,3.57,midazolam 1 MG/ML Injectable Solution
608139,143.5,162.07,184.19,atomoxetine 100 MG Oral Capsule
705129,0.0,135.76,255.63,nitroglycerin 0.4 MG/ACTUAT Mucosal Spray
749762,245.56,491.11,982.22,{7 (ethinyl estradiol 0.01 MG Oral Tablet) / 84 (ethinyl estradiol 0.03 MG / levonorgestrel 0.15 MG Oral Tablet) } Pack [Seasonique]
834061,0.0,7.6,10.9,penicillin V potassium 250 MG Oral Tablet
854235,0.0,52.42,151.07,0.4 ML enoxaparin sodium 100 MG/ML Prefilled Syringe
854252,0.0,180.49,470.15,1 ML enoxaparin sodium 150 MG/ML Prefilled Syringe
885219,0.0,10.03,15.28,benztropine mesylate 0.5 MG Oral Tablet
979492,0.0,12.45,18.86,losartan potassium 50 MG Oral Tablet
1803932,0.0,120.83,165.61,leucovorin 100 MG Injection
1807510,45.57,58.71,74.94,150 ML vancomycin 5 MG/ML Injection
1807513,0.0,48.77,113.7,vancomycin 1000 MG Injection
1014678,0.0,4.73,61.02,cetirizine hydrochloride 10 MG Oral Tablet
1049504,257.04,260.51,263.99,Abuse-Deterrent 12 HR oxycodone hydrochloride 10 MG Extended Release Oral Tablet [Oxycontin]
1094107,0.0,8.08,15.12,phenazopyridine hydrochloride 100 MG Oral Tablet
1100184,73.63,107.76,138.11,donepezil hydrochloride 23 MG Oral Tablet
1789958,0.0,503.07,1006.14,abobotulinumtoxinA 300 UNT Injection [Dysport]
1790099,0.0,33.66,67.32,10 ML doxorubicin hydrochloride 2 MG/ML Injection
1243052,13468.67,26937.35,53874.7,ivacaftor 150 MG Oral Tablet [Kalydeco]
1605257,436.0,871.99,1743.98,levonorgestrel 0.000813 MG/HR Intrauterine System [Liletta]
1650142,0.0,14.68,23.11,doxycycline monohydrate 100 MG Oral Tablet
748879,13.29,26.58,53.16,{21 (ethinyl estradiol 0.03 MG / levonorgestrel 0.15 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Levora 0.15/30 28 Day]
105585,0.0,32.63,57.27,methotrexate 2.5 MG Oral Tablet
1736776,0.0,130.26,508.59,10 ML oxaliplatin 5 MG/ML Injection
197319,0.0,12.12,17.74,allopurinol 100 MG Oral Tablet
310261,162.17,236.92,301.76,exemestane 25 MG Oral Tablet
310385,0.0,7.46,13.05,fluoxetine 20 MG Oral Capsule
1946840,7452.99,14905.99,29811.98,abemaciclib 100 MG Oral Tablet [Verzenio]
259255,0.0,17.27,27.39,atorvastatin 80 MG Oral Tablet
562251,48.47,55.34,61.93,amoxicillin 250 MG / clavulanate 125 MG Oral Tablet
1860491,185.12,370.23,740.46,12 HR hydrocodone bitartrate 10 MG Extended Release Oral Capsule
238100,0.0,8.66,19.54,lorazepam 2 MG/ML Injectable Solution
308192,0.0,4.05,5.8,amoxicillin 500 MG Oral Tablet
308971,291.09,582.18,1164.36,carbamazepine 20 MG/ML Oral Suspension [Tegretol]
309043,135.04,270.08,540.16,12 HR cefaclor 500 MG Extended Release Oral Tablet
313820,0.0,0.0,0.0,acetaminophen 160 MG Chewable Tablet
748856,209.6,419.2,838.4,{24 (drospirenone 3 MG / ethinyl estradiol 0.02 MG Oral Tablet) / 4 (inert ingredients 1 MG Oral Tablet) } Pack [Yaz 28 Day]
807283,594.35,1188.69,2377.38,levonorgestrel 0.000833 MG/HR Intrauterine System [Mirena]
1860154,103.14,206.27,412.54,Abuse-Deterrent 12 HR oxycodone hydrochloride 15 MG Extended Release Oral Tablet
108515,45.2,90.4,180.8,1 ML tacrolimus 5 MG/ML Injection [Prograf]
197379,0.0,10.62,12.84,atenolol 100 MG Oral Tablet
197380,0.0,7.67,11.38,atenolol 25 MG Oral Tablet
197381,6.35,9.84,12.39,atenolol 50 MG Oral Tablet
197517,0.0,20.88,33.82,clarithromycin 500 MG Oral Tablet
197558,0.0,68.89,105.5,dapsone 25 MG Oral Tablet
197862,0.0,245.3,426.66,leucovorin 25 MG Oral Tablet
197884,0.0,7.1,15.63,lisinopril 40 MG Oral Tablet
197885,0.0,8.3,11.23,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet
197886,0.0,11.69,15.22,hydrochlorothiazide 12.5 MG / lisinopril 20 MG Oral Tablet
197887,0.0,10.78,14.64,hydrochlorothiazide 25 MG / lisinopril 20 MG Oral Tablet
197903,0.0,8.79,14.66,lovastatin 10 MG Oral Tablet
197904,0.0,7.8,13.28,lovastatin 20 MG Oral Tablet
197905,0.0,11.34,20.42,lovastatin 40 MG Oral Tablet
198039,0.0,19.28,32.61,nitroglycerin 0.4 MG Sublingual Tablet
198182,0.0,7022.67,18288.19,pyrimethamine 25 MG Oral Tablet
198188,0.0,8.72,22.44,ramipril 2.5 MG Oral Capsule
198189,0.0,10.25,15.8,ramipril 5 MG Oral Capsule
198211,0.0,8.61,18.71,simvastatin 40 MG Oral Tablet
198334,0.0,6.32,10.06,sulfamethoxazole 400 MG / trimethoprim 80 MG Oral Tablet
198335,0.0,4.75,6.58,sulfamethoxazole 800 MG / trimethoprim 160 MG Oral Tablet
199663,0.0,31.43,62.87,zidovudine 300 MG Oral Tablet
199885,0.0,5.18,8.16,levofloxacin 500 MG Oral Tablet
200031,0.0,7.29,13.36,carvedilol 6.25 MG Oral Tablet
200032,0.0,9.16,14.98,carvedilol 12.5 MG Oral Tablet
200082,0.0,168.81,383.07,lamivudine 150 MG / zidovudine 300 MG Oral Tablet
200094,0.0,24.38,51.85,irbesartan 75 MG Oral Tablet
200095,0.0,22.11,49.41,irbesartan 150 MG Oral Tablet
200096,0.0,35.25,73.69,irbesartan 300 MG Oral Tablet
200284,0.0,42.79,83.08,hydrochlorothiazide 12.5 MG / valsartan 80 MG Oral Tablet
200285,28.21,46.09,83.9,hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet
200345,0.0,12.73,28.24,simvastatin 80 MG Oral Tablet
200346,17.3,20.66,22.61,cefdinir 300 MG Oral Capsule
204844,0.0,15.1,28.44,azithromycin 600 MG Oral Tablet
205304,0.0,45.1,79.08,telmisartan 40 MG Oral Tablet
205305,0.0,42.15,89.17,telmisartan 80 MG Oral Tablet
205326,0.0,7.08,13.01,lisinopril 30 MG Oral Tablet
212033,0.0,0.58,3.28,aspirin 325 MG Oral Tablet
212388,385.96,771.93,1543.86,carvedilol 6.25 MG Oral Tablet [Coreg]
212389,342.68,685.36,1370.72,carvedilol 12.5 MG Oral Tablet [Coreg]
212390,360.71,721.42,1442.84,carvedilol 25 MG Oral Tablet [Coreg]
212446,0.0,13.06,39.19,azithromycin 250 MG Oral Tablet [Zithromax]
213432,148.82,297.64,595.28,telmisartan 80 MG Oral Tablet [Micardis]
226719,0.0,0.0,0.0,etoposide 100 MG Injection [Etopophos]
242754,0.0,55.4,87.67,levalbuterol 0.417 MG/ML Inhalation Solution
252559,0.0,286.87,587.79,budesonide 0.5 MG/ML Inhalation Suspension
261962,0.0,12.24,19.36,ramipril 10 MG Oral Capsule
282755,0.0,34.26,87.3,telmisartan 20 MG Oral Tablet
284215,0.0,9.92,13.68,clindamycin 300 MG Oral Capsule
284531,178.63,357.26,714.52,telmisartan 20 MG Oral Tablet [Micardis]
308429,0.0,289.65,854.51,atovaquone 150 MG/ML Oral Suspension
311353,0.0,4.41,7.96,lisinopril 2.5 MG Oral Tablet
311354,0.0,4.12,11.3,lisinopril 5 MG Oral Tablet
312748,11.85,15.12,18.88,quinapril 10 MG Oral Tablet
312749,0.0,15.77,23.46,quinapril 20 MG Oral Tablet
312750,0.0,13.57,18.58,quinapril 5 MG Oral Tablet
312962,0.0,7.04,12.38,simvastatin 5 MG Oral Tablet
314203,14.58,20.28,25.6,quinapril 40 MG Oral Tablet
349094,0.0,123.7,218.85,budesonide 0.125 MG/ML Inhalation Suspension
349199,0.0,23.88,36.58,valsartan 80 MG Oral Tablet
349200,0.0,35.89,52.66,valsartan 320 MG Oral Tablet
349201,0.0,33.96,47.58,valsartan 160 MG Oral Tablet
349251,0.0,200.79,334.21,tenofovir disoproxil fumarate 300 MG Oral Tablet
349353,0.0,42.5,76.86,hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet
349477,0.0,446.2,637.23,efavirenz 600 MG Oral Tablet
349483,0.0,26.1,39.41,valsartan 40 MG Oral Tablet
349491,0.0,149.42,195.49,lamivudine 300 MG Oral Tablet
351109,0.0,120.25,228.2,budesonide 0.25 MG/ML Inhalation Suspension
351136,0.0,37.18,80.89,albuterol 0.417 MG/ML Inhalation Solution
351137,0.0,34.83,68.52,albuterol 0.21 MG/ML Inhalation Solution
352001,421.15,842.31,1684.62,valsartan 320 MG Oral Tablet [Diovan]
402109,1221.0,1221.18,1221.37,fosamprenavir 700 MG Oral Tablet
403875,210.34,420.67,841.34,emtricitabine 200 MG Oral Capsule
